PILOT

pilotlayout             Pilot Cockpit Layout 
riolayout               RIO Cockpit Layout
gvalve                  G-valve Pushbutton
oxygen                  Oxygen-Vent Airflow Control Panel
pilotvoltac             Volume/TACAN Command Panel
TACANcontrol            TACAN Control Panel
piloticscontrol         ICS Control Panel
afcs                    AFCS Control Panel
arc159                  UHF 1 (AN/ARC-159) Radio
asymlimit               ASYM Limiter/Engine Mode Select
tds                     Target Designate Switch
inletrampsthrottle      Inlet Ramps/Throttle Control Panel
throttle                Throttle
throttlequadrant        Throttle Quadrant
hydhandpump             Hydraulic Hand Pump
fuelmgmtpanel           Fuel Management Panel
controlsurface          Control Surface Position Indicator
launchbarabort          Launch Bar Abort Panel
gearcontrol             Landing Gear Control Panel
wheelsflapsind          Wheels-Flaps Position Indicator
emergstorejett          Emergency Stores Jettison Button
hydpressind             Hydraulic Pressure Indicator
oilpressind             Oil Pressure Indicator
exnozzind               Exhaust Nozzle Position Indicator
eig                     Engine Instrument Group
RADALT                  Radar Altimiter
pservopneualt           Servopneumatic Altimeter
pspeedmachind           Airspeed Mach Indicator
vertvelind              Vertical Velocity Indicator
leftengfireshut         Left Engine Fuel Shutoff Handle
aoaind                  Angle-of-Attack Indicator
appindexer              Approach Indexer
wheelswarn              Wheels Warning/Brakes Warnings/ACLS/AP Caution/NWS Engage Caution/Auto Throttle Caution Lights
HUD                     Heads-Up Display
ctvs                    Cockpit Television Sensor (CTVS)
ACMpanel                Air Combat Maneuver Panel
VDI                     Vertical Display Indicator (VDI)
HSD                     Horizontal Situation Display Indicator (HSD)
cabpressalt             Cabin Pressure Altimeter
pedadj                  Pedal Adjust Handle
brakepressind           Emergency Brake Pressure Indicator
stick                   Control Stick
pecmwarn                ECM Warning Lights
pstbycomp               Standby Compass
wingsweepind            Wing Sweep Indicator
rightengfireshut        Right Engine Fuel Shutoff Handle
stbyattind              Standby Attitude Indicator
uhfvhfremind            UHF/VHF Remote Indicators
BDHIindicator           Bearing Distance Heading Indicator (BDHI)
palr67ind               ALR-67 Indicator
pcanjett                Canopy Jettison Handle
pfuelqty                Fuel Quantity Indicator
acc                     Accelerometer
pclock                  Clock
arrhook                 Arresting Hook Panel
dispctrlpanel           Displays Control Panel
elevleadpanel           Elevation Lead Panel
spoilfailover           Spoiler Failure Override
liqoxyqtyind            Liquid Oxygen Quantity Indicator
compasscontrol          Compass Control Panel
ara63                   ARA-63 Control Panel
CAindicator             Caution - Advisory Indicator
mgenctrlpanel           Master Generator Control Panel
mlightctrlpanel         Master Light Control Panel
airconctrlpanel         Air Conditioning Control Panel
MTPanel                 Master Test Panel
extenvctrlpanel         External Environmental Control Panel
hydtranspump            Hydraulic Transfer Pump Switch
hudvidctrlpanel         HUD-Video Control Panel
candefogairlev          Canopy Defog/Cabin Air Lever
pcanopylever            Canopy Control Handle

RIO
rgvalve                 G-Valve Pushbutton
roxyvent                Oxygen-Vent Airflow Control Panel
datastow                Data Stowage Compartment
rtacanctrlpanel         TACAN Control Panel
rcomtac                 Communication/TACAN Command Panel
arc182                  V/UHF 2 (AN/ARC-182) Radio
ky28                    KY-28 Control Panel
liqcool                 Liquid Cooling Control Panel
ricsctrlpanel           ICS Control Panel
ejectcmdlev             Eject Command Lever
sensctrlpanel           Sensor Control Panel
rcap                    Computer Address Panel
armpanel                Armament Panel
rservopneualt           Servopneumatic Altimeter
rspeedmachind           Airspeed Mach Indicator
rstbyattind             Standby Attitude Indicator
uhfremind               UHF Remote Indicator
chafladisp              Chaff/Flare Dispense Switches
dddp                    Detail Data Display Panel
rtid                    Tactical Information Display (TID)
rhcu                    Hand Control Unit (HCU)
icsfoot                 ICS Foot Button
pttfoot                 Mic Foot Button
rclock                  Clock
ralr67ind               ALR-67 Indicator
rfuelqtytot             Fuel Quantity Totalizer
threatadvcaut           Threat Advisory and Master Caution Lights
rbdhi                   Bearing Distance Heading Indicator (BDHI)
rcanjett                Canopy Jettison Handle
cauadvpanel             Caution-Advisory Panel
mdi                     Multiple Display Indicator
rwrpanel                Radar Warning Receiver Panel
ddi                     Digital Data Indicator (DDI)
decmpanel               DECM Control Panel
dlctrlpanel             Data Link Control Panel
dlrepant                Data Link Reply and Antenna Control Panel
ale39ctrlpanel          AN/ALE-39 Control Panel
aa1                     AA1 Control Panel
ale39prog               AN/ALE-39 Programmer
intlight                Interior Light Control Panel
dataadf                 Data/ADF Switch
ifftrans                IFF Transponder Control Panel
iffant                  IFF Antenna Control/Test Panel
radbeac                 Radar Beacon Control Panel
elecpowsystest          Electrical Power System Test Panel
rcanopylever            Canopy Control Handle
